user_id,event,value,timestamp
1001890,restaurant_click,0,2025-01-14T23:46:15Z
1004494,app_open,0,2025-01-13T05:20:59Z
1002203,app_open,0,2025-01-15T22:04:49Z
1000065,app_open,0,2025-01-18T22:58:32Z
1008558,app_open,0,2025-01-14T01:36:21Z
1004523,restaurant_click,0,2025-01-19T06:51:08Z
1007303,app_open,0,2025-01-13T02:17:22Z
1008185,restaurant_click,0,2025-01-16T05:01:58Z
1003570,order_placed,43.96,2025-01-13T05:40:50Z
1006206,app_open,0,2025-01-14T18:31:05Z
1004228,app_open,0,2025-01-15T05:47:58Z
1005312,restaurant_click,0,2025-01-19T00:04:22Z
1006142,app_open,0,2025-01-11T22:13:46Z
1003825,restaurant_click,0,2025-01-17T04:23:51Z
1007946,order_placed,52.05,2025-01-18T14:18:41Z
1005993,app_open,0,2025-01-15T13:30:28Z
1007394,app_open,0,2025-01-18T15:55:56Z
1003875,app_open,0,2025-01-08T18:35:52Z
1001192,restaurant_click,0,2025-01-09T18:37:16Z
1001635,app_open,0,2025-01-20T10:14:53Z
1000929,app_open,0,2025-01-08T04:23:40Z
1006358,app_crash,0,2025-01-15T11:26:21Z
1007888,restaurant_click,0,2025-01-11T10:59:10Z
1001235,order_placed,51.92,2025-01-18T05:33:08Z
1005737,restaurant_click,0,2025-01-13T19:26:12Z
1000587,restaurant_click,0,2025-01-09T21:00:23Z
1004900,app_open,0,2025-01-20T18:57:11Z
1008514,restaurant_click,0,2025-01-10T00:21:51Z
1009830,restaurant_click,0,2025-01-15T23:57:40Z
1000217,restaurant_click,0,2025-01-19T23:46:59Z
1002483,app_open,0,2025-01-11T06:18:59Z
1007451,restaurant_click,0,2025-01-20T15:27:37Z
1000379,restaurant_click,0,2025-01-12T02:27:53Z
1009434,restaurant_click,0,2025-01-20T23:49:46Z
1002144,app_open,0,2025-01-08T02:05:54Z
1004437,app_open,0,2025-01-10T21:23:43Z
1004268,app_open,0,2025-01-10T20:57:55Z
1005635,app_open,0,2025-01-07T08:15:55Z
1002114,order_placed,33.11,2025-01-07T20:08:41Z
1008569,app_open,0,2025-01-10T23:35:11Z
1008130,order_placed,42.61,2025-01-11T03:41:42Z
1007712,app_open,0,2025-01-15T21:00:39Z
1010080,app_open,0,2025-01-08T05:54:35Z
1005902,order_placed,59.62,2025-01-20T22:39:47Z
1003671,app_open,0,2025-01-15T07:14:12Z
1002786,app_open,0,2025-01-15T14:33:34Z
1001567,restaurant_click,0,2025-01-18T11:56:36Z
1003667,app_open,0,2025-01-11T12:21:32Z
1000657,restaurant_click,0,2025-01-15T01:18:31Z
1003898,app_open,0,2025-01-18T13:00:50Z
1007627,restaurant_click,0,2025-01-16T13:22:13Z
1002292,restaurant_click,0,2025-01-18T08:26:03Z
1001548,app_open,0,2025-01-17T19:26:48Z
1005030,restaurant_click,0,2025-01-18T22:26:02Z
1006293,restaurant_click,0,2025-01-17T04:48:40Z
1006896,app_open,0,2025-01-08T14:07:51Z
1006557,restaurant_click,0,2025-01-12T11:28:33Z
1001169,app_open,0,2025-01-18T11:28:43Z
1003517,app_open,0,2025-01-19T14:27:52Z
1009811,restaurant_click,0,2025-01-16T12:21:56Z
1002019,app_open,0,2025-01-09T19:39:40Z
1004165,app_open,0,2025-01-12T18:12:06Z
1006010,app_open,0,2025-01-13T09:41:12Z
1004549,order_placed,36.05,2025-01-13T11:46:08Z
1009147,restaurant_click,0,2025-01-15T05:46:12Z
1000759,app_open,0,2025-01-20T14:47:21Z
1000069,restaurant_click,0,2025-01-18T19:42:37Z
1007138,restaurant_click,0,2025-01-08T09:32:59Z
1008878,app_open,0,2025-01-11T05:48:32Z
1009859,order_placed,13.32,2025-01-10T15:48:57Z
1003581,app_open,0,2025-01-15T16:43:32Z
1002979,app_open,0,2025-01-17T21:38:05Z
1003525,restaurant_click,0,2025-01-15T21:39:54Z
1006543,restaurant_click,0,2025-01-13T04:51:32Z
1000322,app_open,0,2025-01-20T21:36:08Z
1001003,app_open,0,2025-01-10T17:37:25Z
1002276,app_open,0,2025-01-19T20:50:51Z
1008996,app_open,0,2025-01-14T01:34:03Z
1003888,restaurant_click,0,2025-01-08T09:15:20Z
1006204,restaurant_click,0,2025-01-16T15:21:17Z
